[2025-03-22 00:32:42] INFO: SPM started.
[2025-03-22 00:32:51] INFO: Listing processes.
[2025-03-22 00:33:17] INFO: Listing processes.
[2025-03-22 00:33:33] INFO: Killed process with PID 6032
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
[2025-03-22 00:34:14] DEBUG: User entered an invalid menu choice.
